"id","titulo_projeto","motor","categorias"
"CNPQ-114973/2020-2","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-114978/2020-4","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-114996/2020-2","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-115154/2021-3","ÍNDICES DE VEGETAÇÃO PARA ESTIMATIVA DA EVAPOTRANSPIRAÇÃO E RESPOSTA A DISPONIBILIDADE HÍDRICA DA SOJA E MILHO EM CONDIÇÕES IRRIGADAS E DE","INDICES DE VEGETACAO PARA ESTIMATIVA DA EVAPOTRANSPIRACAO E RESPOSTA A DISPONIBILIDADE HIDRICA DA SOJA E MILHO EM CONDICOES IRRIGADAS E DE  Engenharia Agricola Engenharia de Agua e Solo","1.3"
"CNPQ-115154/2021-3","ÍNDICES DE VEGETAÇÃO PARA ESTIMATIVA DA EVAPOTRANSPIRAÇÃO E RESPOSTA A DISPONIBILIDADE HÍDRICA DA SOJA E MILHO EM CONDIÇÕES IRRIGADAS E DE","INDICES DE VEGETACAO PARA ESTIMATIVA DA EVAPOTRANSPIRACAO E RESPOSTA A DISPONIBILIDADE HIDRICA DA SOJA E MILHO EM CONDICOES IRRIGADAS E DE Engenharia Agricola Engenharia de Agua e Solo","1.3"
"CNPQ-115376/2020-8","Produção de Moléculas Híbridas de Exopolissacarídeos e Biossurfactantes para Aplicação na Recuperação Avançada de Petróleo na Revitalização de Campos","Producao de Moleculas Hibridas de Exopolissacarideos e Biossurfactantes para Aplicacao na Recuperacao Avancada de Petroleo na Revitalizacao de Campos Biotecnologia Biotecnologia","2.1"
"CNPQ-115381/2022-8","SARS-COV-2 EM TRABALHADORES DA ÁREA DA SAÚDE E DA SEGURANÇA PÚBLICA COM SÍNDROME GRIPAL EM GOIÂNIA-GOIÁS: INCIDÊNCIA, PREVALÊNCIA, FATORES","SARS-COV-2 EM TRABALHADORES DA AREA DA SAUDE E DA SEGURANCA PUBLICA COM SINDROME GRIPAL EM GOIANIA-GOIAS: INCIDENCIA, PREVALENCIA, FATORES  Saude Coletiva Epidemiologia","1.3"
"CNPQ-115754/2022-9","INCT de Geofísica do Petróleo","INCT de Geofisica do Petroleo Geociencias Geofisica","2.1"
"CNPQ-116444/2020-7","Estudo comparativo das propriedades químicas e físico-química de óleos de pinhão manso cultivado na costa do descobrimento-Ba extraídos","Estudo comparativo das propriedades quimicas e fisico-quimica de oleos de pinhao manso cultivado na costa do descobrimento-Ba extraidos Quimica Quimica dos Produtos Naturais","2.1"
"CNPQ-117419/2021-4","INCT de Geofísica do Petróleo","INCT de Geofisica do Petroleo Geociencias Geofisica","2.1"
"CNPQ-117923/2022-2","PREVALENCIA E FATORES ASSOCIADOS AO ACIDENTE VASCULAR CEREBRAL EM IDOSOS: DADOS DA PESQUISA NACIONAL DE SAUDE DE 2019","PREVALENCIA E FATORES ASSOCIADOS AO ACIDENTE VASCULAR CEREBRAL EM IDOSOS: DADOS DA PESQUISA NACIONAL DE SAUDE DE 2019 Saude Coletiva Saude Publica","1.3"
"CNPQ-117987/2022-0","ANALISE PROJETUAL DE OPORTUNIDADES PARA ELEVAR A CIRCULARIDADE DE EDIFICACOES","ANALISE PROJETUAL DE OPORTUNIDADES PARA ELEVAR A CIRCULARIDADE DE EDIFICACOES Arquitetura e Urbanismo Tecnologia de Arquitetura e Urbanismo","1.3"
"CNPQ-117997/2021-8","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-118009/2021-4","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-118012/2021-5","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-118014/2021-8","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-118030/2021-3","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-118084/2020-8","Núcleo de excelência em melhoramento genético e biotecnologia de matérias primas oleaginosas para produção de bioenergia","Nucleo de excelencia em melhoramento genetico e biotecnologia de materias primas oleaginosas para producao de bioenergia Agronomia Melhoramento Vegetal","3.4"
"CNPQ-118100/2021-1","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-118172/2021-2","Utilização de biomassas agrícolas residuais para produção de biocombustíveis","Utilizacao de biomassas agricolas residuais para producao de biocombustiveis Engenharia Agricola Engenharia de Processamento de Produtos Agricolas","3.4"
"CNPQ-118199/2021-8","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-118219/2022-7","Avaliação da contribuição das NDCs e seus processos de planejamento e implementação na redução das emissões de gases de efeito estufa no setor de","Avaliacao da contribuicao das NDCs e seus processos de planejamento e implementacao na reducao das emissoes de gases de efeito estufa no setor de  Engenharia de Transportes Planejamento de Transportes","2.1"
"CNPQ-118435/2022-1","DEFINIÇÃO DE MULTIMORBIDADE CARDIOMETABÓLICA: UMA SCOPING REVIEW","DEFINICAO DE MULTIMORBIDADE CARDIOMETABOLICA: UMA SCOPING REVIEW Fisioterapia e Terapia Ocupacional Fisioterapia e Terapia Ocupacional","1.3"
"CNPQ-118498/2022-3","Avaliação do potencial bioenergético de misturas de biomassas e resíduos sólidos urbanos do município de São Luis (MA) por meio de processos termoquímicoS","Avaliacao do potencial bioenergetico de misturas de biomassas e residuos solidos urbanos do municipio de Sao Luis (MA) por meio de processos termoquimicoS Engenharia Mecanica Aproveitamento da Energia","3.4"
"CNPQ-118539/2022-1","Microestrutura de escórias de alto-forno e aciaria por MEV/SED visando a aplicação em compósitos de cimento","Microestrutura de escorias de alto-forno e aciaria por MEV/SED visando a aplicacao em compositos de cimento Engenharia de Materiais e Metalurgica Metalurgia Extrativa","1.3"
"CNPQ-118836/2021-8","Nanoheteroestruturas Semicondutoras:  Caracterização e Aplicação como Sensores de Gases","Nanoheteroestruturas Semicondutoras:  Caracterizacao e Aplicacao como Sensores de Gases Engenharia de Materiais e Metalurgica Ceramicos","6.2"
"CNPQ-118885/2022-7","AVALIACAO DO ISOLAMENTO, EM SITUACAO DE INCENDIO, DE PRISMAS DE ALVENARIA ESTRUTURAL COM BLOCOS DE CONCRETO REVESTIDOS COM","AVALIACAO DO ISOLAMENTO, EM SITUACAO DE INCENDIO, DE PRISMAS DE ALVENARIA ESTRUTURAL COM BLOCOS DE CONCRETO REVESTIDOS COM  Engenharia Civil Estruturas de Concreto","1.3"
"CNPQ-119067/2020-0","PERFIL EPIDEMIOLÓGICO DA SÍNDROME METABÓLICA EM PESSOAS VIVENDO COM HIV: UMA REVISÃO SISTEMÁTICA","PERFIL EPIDEMIOLOGICO DA SINDROME METABOLICA EM PESSOAS VIVENDO COM HIV: UMA REVISAO SISTEMATICA Fisioterapia e Terapia Ocupacional Fisioterapia e Terapia Ocupacional","1.3"
"CNPQ-119141/2021-3","Práticas mitigadoras às mudanças climáticas em sistemas de produção em terras baixas no Sul do Brasil","Praticas mitigadoras as mudancas climaticas em sistemas de producao em terras baixas no Sul do Brasil Agronomia Manejo e Conservacao do Solo","7.1"
"CNPQ-119199/2020-3","OBTENÇÃO DE FILMES E REVESTIMENTOS COMESTÍVEIS À BASE DE CARBOXIMETILCELULOSE E ÓLEO DE COCO PARA CONSERVAÇÃO DE FRUTAS","OBTENCAO DE FILMES E REVESTIMENTOS COMESTIVEIS A BASE DE CARBOXIMETILCELULOSE E OLEO DE COCO PARA CONSERVACAO DE FRUTAS Engenharia de Materiais e Metalurgica Polimeros, Aplicacoes","1.3"
"CNPQ-119360/2022-5","Avaliação da resistência ao desgaste de pátinas formadas em ensaios de corrosão acelerada","Avaliacao da resistencia ao desgaste de patinas formadas em ensaios de corrosao acelerada Engenharia Mecanica Mecanica dos Solidos","2.1"
"CNPQ-119422/2022-0","Engenharia genética em microalgas para o incremento da produção lipídica","Engenharia genetica em microalgas para o incremento da producao lipidica Bioquimica Biologia Molecular","2.1"
"CNPQ-119455/2022-6","Análise numérica do dispositivo de conversão de energia das ondas do tipo Placa Vertical Oscilante","Analise numerica do dispositivo de conversao de energia das ondas do tipo Placa Vertical Oscilante Engenharia Naval e Oceanica Estruturas Navais e Oceanicas","3.3"
"CNPQ-119617/2020-0","Influência do pré-tratamento químico ácido na reatividade do bagaço de cana-de-açúcar","Influencia do pre-tratamento quimico acido na reatividade do bagaco de cana-de-acucar Engenharia de Energia Energia de Biomassa","3.4"
"CNPQ-119755/2022-0","Arquitetura humanitária. O acolhimento e refúgio diante a crise climática e seu impacto nos deslocamentos forçados na América Latina e Caribe","Arquitetura humanitaria. O acolhimento e refugio diante a crise climatica e seu impacto nos deslocamentos forcados na America Latina e Caribe Arquitetura e Urbanismo Fundamentos de Arquitetura e Urbanismo","7.1"
"CNPQ-120016/2020-6","Geotecnologias para monitoramento de características ambientais gerais: Solo, planta, clima, microclima e água na fruticultura (SI do projeto Convertido de:","Geotecnologias para monitoramento de caracteristicas ambientais gerais: Solo, planta, clima, microclima e agua na fruticultura (SI do projeto Convertido de: Geociencias Geocartografia","7.1"
"CNPQ-120057/2021-2","Lógica Fuzzy aplicada no controle das polias de uma transmissão continuamente variável","Logica Fuzzy aplicada no controle das polias de uma transmissao continuamente variavel  Ciencia da Computacao Sistemas de Computacao","6.2"
"CNPQ-120057/2021-2","Lógica Fuzzy aplicada no controle das polias de uma transmissão continuamente variável","Logica Fuzzy aplicada no controle das polias de uma transmissao continuamente variavel Ciencia da Computacao Sistemas de Computacao","6.2"
"CNPQ-120076/2020-9","PREVALÊNCIA DE SÍNDROME METABÓLICA EM INDIVÍDUOS COM DOENÇA DE CHAGAS CRÔNICA RESIDENTES NA REGIÃO METROPOLITANA DO RIO DE JANEIRO","PREVALENCIA DE SINDROME METABOLICA EM INDIVIDUOS COM DOENCA DE CHAGAS CRONICA RESIDENTES NA REGIAO METROPOLITANA DO RIO DE JANEIRO Bioquimica Biologia Molecular","1.3"
"CNPQ-120099/2020-9","Efeito do cátion de compensação sobre a degradação de peneiras moleculares de secagem de gases por TSA.","Efeito do cation de compensacao sobre a degradacao de peneiras moleculares de secagem de gases por TSA. Engenharia Quimica Processos Industriais de Engenharia Quimica","2.1"
"CNPQ-120197/2022-7","Sistema multiescala de detecção e modelagem de derramamento de óleo.","Sistema multiescala de deteccao e modelagem de derramamento de oleo. Oceanografia Oceanografia Fisica","2.1"
"CNPQ-120204/2022-3","Variações do Ritmo Pluvial no Estado do Paraná: análise da dinâmica atmosférica, dos eventos extremos e estabelecimento de tipologias climáticas","Variacoes do Ritmo Pluvial no Estado do Parana: analise da dinamica atmosferica, dos eventos extremos e estabelecimento de tipologias climaticas Geociencias Geografia Fisica","7.1"
"CNPQ-120228/2020-3","Transporte Eletrônico em Materiais bi-dimensionais investigados na Nanoescala.","Transporte Eletronico em Materiais bi-dimensionais investigados na Nanoescala. Fisica Fisica dos Fluidos, Fisica de Plasmas e Descargas Eletricas","2.1"
"CNPQ-120242/2020-6","Avaliação da sudação externa em refrigerador comercial sob diferentes configurações de isolamento térmico e operacional","Avaliacao da sudacao externa em refrigerador comercial sob diferentes configuracoes de isolamento termico e operacional Engenharia Mecanica Engenharia Termica","3.1"
"CNPQ-120328/2022-4","INFLUÊNCIA DE UM PROGRAMA DE TREINAMENTO FÍSICO DOMICILIAR SEMI SUPERVISIONADO NA TAXA DE HOSPITALIZAÇÃO E SOBREVIDA DE PACIENTES","INFLUENCIA DE UM PROGRAMA DE TREINAMENTO FISICO DOMICILIAR SEMI SUPERVISIONADO NA TAXA DE HOSPITALIZACAO E SOBREVIDA DE PACIENTES  Fisioterapia e Terapia Ocupacional Fisioterapia e Terapia Ocupacional","1.3"
"CNPQ-120381/2022-2","Avaliação da relação C/N da levedura Rhodosporidium toruloides usando hidrolisado hemicelulósico de biomassa de cana-de-açúcar","Avaliacao da relacao C/N da levedura Rhodosporidium toruloides usando hidrolisado hemicelulosico de biomassa de cana-de-acucar Engenharia Quimica Processos Bioquimicos","3.4"
"CNPQ-120451/2020-4","Avaliação da resistência de acessos do complexo Saccharum spp. à broca-da-cana-de-açúcar Diatraea saccharalis","Avaliacao da resistencia de acessos do complexo Saccharum spp. a broca-da-cana-de-acucar Diatraea saccharalis Agronomia Entomologia Agricola","3.4"
"CNPQ-120467/2022-4","Síntese, caracterização e solubilidade de gases em líquidos iônicos próticos","Sintese, caracterizacao e solubilidade de gases em liquidos ionicos proticos Engenharia Quimica Processos Industriais de Engenharia Quimica","2.1"
"CNPQ-120495/2021-0","Diagnóstico e simulação de plasmas gerados em descargas magnetron","Diagnostico e simulacao de plasmas gerados em descargas magnetron Fisica Fisica de Plasmas e Descargas Eletricas","2.1"
"CNPQ-120597/2020-9","Aplicação de lógica FUZZY na obtenção de máxima potência em sistemas fotovoltaicos","Aplicacao de logica FUZZY na obtencao de maxima potencia em sistemas fotovoltaicos Engenharia Eletrica Sistemas Eletricos de Potencia","3.1"
"CNPQ-120690/2022-5","AVALIACAO DO CICLO DE VIDA DE HABITACOES: MODELAGEM DA PREVISAO DA VIDA UTIL DE MATERIAIS E SISTEMAS","AVALIACAO DO CICLO DE VIDA DE HABITACOES: MODELAGEM DA PREVISAO DA VIDA UTIL DE MATERIAIS E SISTEMAS Engenharia Civil Construcao Civil","1.3"
"CNPQ-120826/2022-4","MODIFICACAO MICROESTRUTURAL E DE DUREZA ATRAVES DA ADICAO DE VANADIO NA LIGA AL-7%SI-1%FE SOLIDIFICADAS SOB DIFERENTES CONDICOES","MODIFICACAO MICROESTRUTURAL E DE DUREZA ATRAVES DA ADICAO DE VANADIO NA LIGA AL-7%SI-1%FE SOLIDIFICADAS SOB DIFERENTES CONDICOES  Engenharia de Materiais e Metalurgica Propriedades Fisicas dos Metais e Ligas","2.1"
"CNPQ-120832/2022-4","Estudo do efeito da deformação plástica severa e de partículas de reforço sobre o comportamento mecânico de ligas não ferrosas","Estudo do efeito da deformacao plastica severa e de particulas de reforco sobre o comportamento mecanico de ligas nao ferrosas Engenharia de Materiais e Metalurgica Metalurgia Fisica","2.1"
"CNPQ-120936/2022-4","Contribuição à base de algoritmos para a geração de composições associadas a mudanças climáticas na plataforma GaiaSenses","Contribuicao a base de algoritmos para a geracao de composicoes associadas a mudancas climaticas na plataforma GaiaSenses Ciencia da Computacao Software Basico","7.1"
"CNPQ-120989/2021-2","Biomonitoramento de áreas costeiras contaminadas por petróleo","Biomonitoramento de areas costeiras contaminadas por petroleo Oceanografia Oceanografia Biologica","2.1"
"CNPQ-121013/2020-0","Síntese e caracterização de derivados conjugados de policarbazol / Óxido de grafeno reduzido (RGO) para aplicação em células solares de perovskitas","Sintese e caracterizacao de derivados conjugados de policarbazol / Oxido de grafeno reduzido (RGO) para aplicacao em celulas solares de perovskitas Quimica Sintese Organica","3.1"
"CNPQ-121099/2022-9","ANÁLISE DO PERFIL EPIDEMIOLÓGICO E DA PREVALÊNCIA DE RETINOPATIA DIABÉTICA EM PACIENTES DIABÉTICOS NO HOSPITAL DE OLHOS MS (HOMS)","ANALISE DO PERFIL EPIDEMIOLOGICO E DA PREVALENCIA DE RETINOPATIA DIABETICA EM PACIENTES DIABETICOS NO HOSPITAL DE OLHOS MS (HOMS) Saude Coletiva Saude Publica","1.3"
"CNPQ-121167/2020-8","FÓSSEIS DA BACIA SEDIMENTAR DO PARNAÍBA: UMA REVISÃO BIBLIOGRÁFICA","FOSSEIS DA BACIA SEDIMENTAR DO PARNAIBA: UMA REVISAO BIBLIOGRAFICA Geociencias Geologia","1.3"
"CNPQ-121224/2022-8","Aplicação de correlações empíricas para o estudo da capacidade de carreamento de cascalhos por fluido de perfuração viscosificado com atapulgita organofilizada","Aplicacao de correlacoes empiricas para o estudo da capacidade de carreamento de cascalhos por fluido de perfuracao viscosificado com atapulgita organofilizada Engenharia Quimica Petroleo e Petroquimica","2.1"
"CNPQ-121227/2021-9","Avaliação de diferentes configurações e espécies vegetais em sistemas alagados construídos de escoamento horizontal subsuperficial tratando esgoto doméstico","Avaliacao de diferentes configuracoes e especies vegetais em sistemas alagados construidos de escoamento horizontal subsuperficial tratando esgoto domestico Engenharia Sanitaria Processos Simplificados de Tratamento de Aguas","2.1"
"CNPQ-121259/2021-8","Projeto: Um estudo sobre o mercado brasileiro de petróleo e seus derivados nos últimos 30 anos com base em análise de dados.","Projeto: Um estudo sobre o mercado brasileiro de petroleo e seus derivados nos ultimos 30 anos com base em analise de dados. Energia Energia","2.1"
"CNPQ-121294/2020-0","Desenvolvimento de cultivares de girassol visando melhoria na qualidade de óleo e no manejo da cultura.","Desenvolvimento de cultivares de girassol visando melhoria na qualidade de oleo e no manejo da cultura. Agronomia Melhoramento Vegetal","2.1"
"CNPQ-121515/2021-4","AMBiENte: Avaliação de Marcadores Biogeoquímicos de petróleo em Estuários do Nordeste - Rio Sergipe","AMBiENte: Avaliacao de Marcadores Biogeoquimicos de petroleo em Estuarios do Nordeste - Rio Sergipe Quimica Analise de Tracos e Quimica Ambiental","2.1"
"CNPQ-121656/2021-7","PREVALÊNCIA DE SIFILIS EM USUÁRIOS DE CRACK DE MATO GROSSO DO SUL","PREVALENCIA DE SIFILIS EM USUARIOS DE CRACK DE MATO GROSSO DO SUL Saude Coletiva Epidemiologia","1.3"
"CNPQ-121729/2021-4","Modelagem com procedimentos experimentais ópticos do efeito de blocagem de gases em sistemas de vácuo","Modelagem com procedimentos experimentais opticos do efeito de blocagem de gases em sistemas de vacuo Fisica Dinamica dos Fluidos","2.1"
"CNPQ-121987/2022-1","ESTUDO EPIDEMIOLÓGICO SOBRE A PREVALÊNCIA DE SÍFILIS ADQUIRIDA NAS MICRORREGIÕES DO ESTADO DE MATO GROSSO DO SUL","ESTUDO EPIDEMIOLOGICO SOBRE A PREVALENCIA DE SIFILIS ADQUIRIDA NAS MICRORREGIOES DO ESTADO DE MATO GROSSO DO SUL Saude Coletiva Epidemiologia","1.3"
"CNPQ-122019/2020-2","Síntese e caracterização de um novo polímero obtido a partir da polimerização de misturas de óleo de Moringa oleifera e óleo de linhaça","Sintese e caracterizacao de um novo polimero obtido a partir da polimerizacao de misturas de oleo de Moringa oleifera e oleo de linhaca Quimica Polimeros e Coloides","2.1"
"CNPQ-122019/2022-9","Análise de sistemas de vigas de Timoshenko com viscoelasticidade retardada","Analise de sistemas de vigas de Timoshenko com viscoelasticidade retardada Matematica Equacoes Diferenciais Parciais","2.1"
"CNPQ-122031/2022-9","Análise interferométrica de misturas gasosas","Analise interferometrica de misturas gasosas Fisica Fisica da Materia Condensada","2.1"
"CNPQ-122037/2020-0","Associação entre cepas de Helicobacter pylori e polimorfismos em genes associados a reposta em lesões gástricas","Associacao entre cepas de Helicobacter pylori e polimorfismos em genes associados a reposta em lesoes gastricas Biotecnologia Biotecnologia em Saude Humana e Animal","2.1"
"CNPQ-122142/2021-7","DESENVOLVIMENTO DE NANOPARTÍCULAS INOVADORAS PARA VETORIZAÇÃO DE FÁRMACOS AO SISTEMA NEVOSO CENTRAL","DESENVOLVIMENTO DE NANOPARTICULAS INOVADORAS PARA VETORIZACAO DE FARMACOS AO SISTEMA NEVOSO CENTRAL Bioquimica Quimica de Macromoleculas","1.3"
"CNPQ-122225/2022-8","Aplicação de aprendizado de máquina em escoamentos complexos:O encontro entre Fluidodinâmica Computacional e Inteligência artificial","Aplicacao de aprendizado de maquina em escoamentos complexos:O encontro entre Fluidodinamica Computacional e Inteligencia artificial Fisica Dinamica dos Fluidos","2.1"
"CNPQ-122264/2022-3","CÂNCER DE PRÓSTATA: ANÁLISE EPIDEMIOLÓGICA DE INCIDÊNCIA, PREVALÊNCIA E HOSPITALIZAÇÃO","CANCER DE PROSTATA: ANALISE EPIDEMIOLOGICA DE INCIDENCIA, PREVALENCIA E HOSPITALIZACAO Saude Coletiva Epidemiologia","1.3"
"CNPQ-122277/2022-8","PERFIL EPIDEMIOLÓGICO DE INCIDÊNCIA, PREVALÊNCIA E HOSPITALIZAÇÃO DO CÂNCER COLORRETAL","PERFIL EPIDEMIOLOGICO DE INCIDENCIA, PREVALENCIA E HOSPITALIZACAO DO CANCER COLORRETAL Saude Coletiva Epidemiologia","1.3"
"CNPQ-122333/2022-5","Desenvolvimento de Complexos Metálico Mono ou Binuclear de Magnésio coordenado a Flavonóides para Aplicação em Controle de insetos pragas da","Desenvolvimento de Complexos Metalico Mono ou Binuclear de Magnesio coordenado a Flavonoides para Aplicacao em Controle de insetos pragas da  Quimica Quimica Bio-Inorganica","2.1"
