"","no_anp","titulo","empresa_responsavel","demais_proponentes","qualificacao","objetivo","area","tema","subtema","empresa_petrolifera_executora","empresa_brasileira_executora","instituicao_executora","unidade_de_pesquisa_executora","n_autorizacao","data_inicio","prazo","valor_clausula","executor_1"
"11","20014-7","Projeto de Desenvolvimento e Avaliação de Aditivos Inteligentes para Estabilização de Asfaltenos","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo é investigar meios para aumentar o poder de solvência dos maltenos para inibir a floculação dos asfaltenos através do uso de aditivos """"inteligentes"""". Os aditivos serão escolhidas em base de correlações estrutura/eficiência pré-estabelecidas em sistemas modelos. Pretende-se empregar aditivos comerciais ou modificados, e suas misturas e incluir nas formulações, quando possível, matéria prima brasileira, por exemplo biodiesel, nafta, derivados de tall oil,cardanol e poligliceróis.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","RECUPERAÇÃO MELHORADA DE PETRÓLEO",NA,NA,"USP","USP - Laboratório de Detergentes e Polímeros",NA,"03/02/2017",24,"R$ 561239,12","USP"
"12","20015-4","Caracterização petrofísica multi-escala de reservatórios do pré-sal","EQUINOR BRASIL","EQUINOR BRASIL","PESQUISA APLICADA","Caracterizar rochas reservatório do pré-sal usando uma série de análises não destrutivas de laboratório, além de dados de testemunho e perfis de poços. Isto permitirá o estudo da rocha através de diferentes métodos de aquisição em escala de resolução diferentes, como correlações de porosidade e permeabilidade por diferentes métodos e escalas. Isto possibilitará a análise de transferência de escala, como também o entendimento da complexidade da distribuição de poros","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES","EQUINOR BRASIL",NA,"UNICAMP","UNICAMP - Centro de Estudos de Petróleo - CEPETRO",NA,"12/12/2016",26,"R$ 2909000,60","UNICAMP"
"13","20016-2","Inversão sísmica anisotrópica estocástica de alta resolução direcionada a estimativa de propriedades geomecânicas","ENAUTA","ENAUTA","PESQUISA APLICADA","Desenvolvimento de metodologia e ferramentas computacionais para a geração modelos geomecânicos tridimensionais com base na integração de informações de dados sísmicos 3D (com ampla cobertura azimutal) e poços. A metodologia terá como base a formulação de um problema inverso para a estimativa das tensões horizontais e módulos eláticos (razão de Poisson e módulo de Young) utilizando processos estocásticos baseados em Cadeia de Markov Monte Carlo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOFÍSICA DE RESERVATÓRIO",NA,"INVISION GEOFISICA LTDA.",NA,NA,NA,"05/01/2017",36,"R$ 2475734,50",NA
"14","20017-0","Melhoria de infraestrutura laboratorial para o estudo de causas e modos de falhas em componentes controladores de BOP (Blow-out preventer).","PETROBRAS","PETROBRAS","INFRAESTRUTURA","o propósito deste projeto reside em complementar instalações laboratoriais existentes, de modo a permitir que válvulas e outros componentes de BOP possam ser testados em condições semelhante às de trabalho no fundo do poço. Especificamente, o projeto deve garantir a infraestrutura adicional necessária para a investigação experimental de três tipos de válvulas, que são diferentes umas das outras: 
válvulas reguladoras do tipo MKR, válvulas do tipo SPM e válvulas do tipo CCSV.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"UFRJ","UFRJ - LTEP - Laboratório de Tecnologia de Engenharia de Poços","0467/2017","26/12/2017",36,"R$ 5049488,92","UFRJ"
"15","20018-8","Construção de laboratório de referência, principalmente para o desenvolvimento de gasolinas aditivadas e avaliação de sua influência na formação de depósitos, desempenho, consumo de combustível  e emissões veiculares","PETROBRAS","PETROBRAS","INFRAESTRUTURA - NOVA EDIFICAÇÃO OU ACRÉSCIMO DE ÁREA","Implantação de um laboratório de referência para o desenvolvimento de gasolinas aditivadas, possibilitando analisar o efeito de diferentes níveis e tipos de aditivos na formação de depósitos em válvulas e seus efeitos nas emissões de poluentes, já que será implantada no Brasil a aditivação de toda a gasolina do país e o Brasil tem a particularidade de possuir sua gasolina com adição de até 27% de etanol anidro.","ABASTECIMENTO","COMBUSTÍVEIS E LUBRIFICANTES","DESEMPENHO E EMISSÕES",NA,NA,"INT","INT - Coordenação de Tecnologias Aplicadas","0375/2018","24/10/2018",24,"R$ 3610429,79","INT"
"16","20019-6","Biossensor com tecnologia de Fibra Óptica Plástica para Diagnóstico Rápido de Bactérias Redutoras de Sulfato","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento de sistema de sensoriamento para identificação em tempo real de bactérias redutoras de sulfato(BRS).Os métodos tradicionais são baseados em coletas de amostras e posterior análise em lab inshore. Pretende-se desenvolver sensor que seja portátil e tenha resposta imediata e em campo.Inicialmente serão desenvolvidos sensores específicos para Escherichia coli, com 3 diferentes tecnologias ópticas: campo evanescente;tipo LSPR; e com FBG. Por fim sensores de Fibra Óptica Plástica.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE EQUIPAMENTOS",NA,NA,"UFRJ","UFRJ - Laboratório de Instrumentação e Fotônica",NA,"13/04/2017",36,"R$ 2932841,48","UFRJ"
"17","20020-4","Melhoria de estrutura laboratorial para estudo de umidade de misturas de hidrocarbonetos, água e CO2.","PETROBRAS","PETROBRAS","INFRAESTRUTURA","O objetivo do presente projeto é montar uma estrutura laboratorial de referência para a determinação experimental e teórica da umidade de gás natural contendo elevadas quantidades CO2. Especificamente, pretende-se montar e testar diferentes estratégias de medição da umidade absoluta principalmente em condições de baixa concentração de água e alta concentração de CO2 em misturas sintéticas e reais de gases.","GÁS NATURAL","MOVIMENTAÇÃO E ARMAZENAMENTO","TRANSPORTE E ARMAZENAMENTO DE GN E GNL",NA,NA,"UFRJ","UFRJ - Laboratório ATOMS - Termodinâmica Aplicada e Simulação Molecular","0895/2017","30/07/2018",24,"R$ 1362583,30","UFRJ"
"18","20021-2","Execução do projeto Mapeamento de Metais em Catalisadores de FCC","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Compra e instalação de um avançado detector para EDS do tipo SDD. Essa nova classe de detector possui alta resolução energética e velocidade de aquisição, atendendo as atuais exigências de caracterização química de materiais aplicáveis à indústria do petróleo.","ABASTECIMENTO","REFINO","PROCESSAMENTO DE PETRÓLEO",NA,NA,"PUC-Rio","PUC-Rio - Laboratórios de Microscopia Eletrônica, Análises Térmicas e Caracterização de Materiais","0259/2017","31/07/2017",12,"R$ 443370,28","PUC-Rio"
"19","20022-0","Adequação de infraestrutura laboratorial para o desenvolvimento de bioprocesso para despolimerização de PET [poli(tereftalato de etileno)] e obtenção de produtos biotecnológicos de interesse da indústria do petróleo","PETROBRAS","PETROBRAS","INFRAESTRUTURA","O presente projeto tem por objetivo geral a adequação de infraestrutura laboratorial para desenvolvimento de processos de despolimerização biológica de PET, através de ação enzimática e/ou microbiana visando a reutilização de seus monômeros em nova reação para síntese do polímero, ou ainda a obtenção de produtos biotecnológicos de interesse industrial.","ABASTECIMENTO","PETROQUÍMICA DE 1ª E 2ª GERAÇÃO","RECICLAGEM DE POLÍMEROS",NA,NA,"UFRJ","UFRJ - BIOSE - Laboratório de Engenharia de Sistemas Biológicos","0581/2018","26/12/2018",36,"R$ 1343821,09","UFRJ"
"20","20023-8","Caracterização de Testemunhos e Plugues por Análise Digital de Rocha","SHELL","SHELL","PESQUISA APLICADA","Esta proposta de pesquisa abordará a influência da densidade volumétrica e do perfil de absorção fotoelétrica nos resultados da análise digital de rocha, também a caracterização de carbonatos em escala de poro incluindo o sistema multimodal utilizando correlação da morfologia do poro com as propriedades petrofísicas da rocha (rotina e especial) para refinamento da caracterização de tipos de rocha reservatório.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS","SHELL","INGRAIN BRASIL SERVIÇOS DE GEOFÍSICA LTDA",NA,NA,NA,"12/12/2016",11,"R$ 2826551,10",NA
"21","20024-6","Multi Sensor Inversion Fase II","SHELL","SHELL","PESQUISA APLICADA","Estender a aplicação do projeto Multi Sensor Inversion (MSI Fase I) para formações com anisotropia tridimensional e para poços com lama base água e aprimorar os modelos físicos envolvidos para obter uma melhor caracterização da formação e do fluido do reservatório através do uso de informações de ressonância magnética e dielétrico.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES","SHELL","SCHLUMBERGER SERVICOS DE PETROLEO LTDA",NA,NA,NA,"03/01/2017",36,"R$ 18100971,89",NA
"22","20025-3","ADDSSI - DETECÇÃO DE ANOMALIAS E DIAGNÓSTICO DE FALHAS DE SISTEMAS DE INJEÇÃO DE ÁGUA EM FPSOS","SHELL","SHELL","PESQUISA APLICADA","Pesquisar o uso de técnicas de Inteligência Artificial para auxiliar o diagnóstico dos problemas no controle da vazão e pressão de água de injeção em processo de recuperação secundária em reservatórios de óleo e gás a fim de garantir produtividade e segurança da planta de  processo e do reservatório. O projeto terá como estudo de caso o campo Parque das Conchas (BC-10) situado em águas profundas na costa brasileira.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","INJEÇÃO E GERENCIAMENTO DE ÁGUAS",NA,NA,"UFF","UFF - ADDLabs-Laboratório de Documentação Ativa e Design Inteligente",NA,"25/05/2017",16,"R$ 1463549,04","UFF"
"23","20026-1","Projeto de Melhoria de infraestrutura laboratorial para gestão tecnológica de gases ácidos em reservatórios visando a recuperação incrementada de petróleo","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Melhorar a infraestrutura laboratorial para gestão tecnológica de gases ácidos em reservatórios visando recuperação incrementada de petróleo, Adquirir equipamentos para medir propriedades necessárias para injeção miscível como Pressão mínima de miscibilidade  e a composição minima de miscibilidade complementando equipamentos em pleno funcionamento para obtenção e medição de propriedades físico-químicas de fluídos de reservatórios.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS",NA,NA,"UFRJ","UFRJ - LATCA - Laboratório de Termodinâmica e Cinética Aplicada","0369/2017","12/04/2018",36,"R$ 3708945,20","UFRJ"
"24","20027-9","Produção  de biomassa algácea com alto teor de lipídeos destinada à obtenção de biocombustíveis na Planta Piloto da UFRN","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Aprimorar a produção da biomassa de microalgas procurando obter um alto teor lipídico no processamento, através do cultivo intensivo de espécies selecionadas e/ou melhoradas geneticamente, nas instalações da Planta Piloto, e destinadas à produção final de biocombustíveis.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","MONITORAMENTO DE ÁREAS IMPACTADAS POR ATIVIDADES DA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",NA,NA,"UFRN","UFRN - Grupo de Pesquisa em Ciências do Mar e Ambientais",NA,"30/05/2017",30,"R$ 1332540,30","UFRN"
"25","20028-7","Avaliação da tecnologia Orbitrap para estudos em petroleômica: um enfoque em geoquímica.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliar a performance do sistema Orbitrap Q-Exactive na análise das frações de petróleos fracionadas, no que tange o número e perfil de componentes identificados e verificar se as informações obtidas pelo Orbitrap para resolução de questões geoquímicas levarão as mesmas conclusões obtidas pelas análises no FT-ICR MS.","TEMAS TRANSVERSAIS","AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE","METODOLOGIAS E SISTEMAS DE CONTROLE DA QUALIDADE",NA,NA,"UFG","UFG - Instituto de Química",NA,"07/06/2017",24,"R$ 600768,27","UFG"
"26","20029-5","Projeto de Infraestrutura para a Captura e Transformação de CO2 em Combustíveis e Produtos Químicos","SHELL","SHELL","INFRAESTRUTURA","Aquisição de equipamentos para utilização em captura de CO2 por adsoventes e para transformação química em carbonato orgânicos. Realização de obras de infraestrutura para habitabilidade e finalização interna de novos laboratórios, com inclusão de remodelamento de subestação para aumento de carga.","GÁS NATURAL","PRODUÇÃO E PROCESSAMENTO","TRANSFORMAÇÃO QUÍMICA DE GÁS NATURAL",NA,NA,"UFRJ","UFRJ - LABORATÓRIO DE REATIVIDADE DE HIDROCARBONETOS, BIOMASSA E CATÁLISE (LARHCO)","0074/2017","21/12/2017",24,"R$ 1641183,67","UFRJ"
"27","20030-3","Projeto Multicliente CO2CC Program: Captura e Usos para o CO2","PETROBRAS","PETROBRAS","PESQUISA EM MEIO AMBIENTE","Avaliar opções tecnicamente e comercialmente viáveis para a captura / purificação e utilização de CO2 e a sua mitigação através de ganhos de eficiência energética que contribuam significativamente para a mitigação das emissões de CO2 dos processos da indústria de óleo e gás","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","EMISSÕES DE GASES DE EFEITO ESTUFA NA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS","PETROBRAS",NA,NA,NA,NA,"24/04/2017",24,"R$ 86836,14",NA
"28","20031-1","Redução de COV em UCR (Abertura do Tambor)","PETROBRAS","PETROBRAS","PESQUISA EM MEIO AMBIENTE","Quantificar/Estimar as emissões de hidrocarbonetos, em especial os compostos orgânicos voláteis (COV), durante o processo de abertura do tambor de coque, através de monitoramento ou estimativa de cálculo.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","GERENCIAMENTO DE ÁGUAS, EFLUENTES E EMISSÕES DE POLUENTES REGULAMENTADOS","PETROBRAS",NA,NA,NA,NA,"24/04/2017",19,"R$ 72453,42",NA
"29","20032-9","Projeto De Implantação de Infraestrutura do Laboratório de Química da PUCRS","SHELL","SHELL","INFRAESTRUTURA","Desenvolver e avaliar tecnologias de separação e utilização de CO2 em dois contextos: (1) Processamento primário de gás natural do Pré-Sal, rico em CO2, sob impacto de elevação de teor de CO2 do reservatório por EOR, (2) Captura de CO2 emitido por termelétricas a gás natural. Nos dois contextos, desenvolver material adsorvente avançado visando minimizar a penalidade energética da separação no preço do kWh gerado, desde experimentos de bancada até a construção e teste de unidade protótipo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CAPTURA E ESTOCAGEM DE CO2",NA,NA,"PUC-RS","PUC-RS - Faculdade de Química","0038/2017","29/09/2017",12,"R$ 795318,84","PUC-RS"
"30","20033-7","Projeto de Implantação de Infraestrutura para o Laboratório H2CIN da UFRJ","SHELL","SHELL","INFRAESTRUTURA","Desenvolver e avaliar tecnologias de separação e utilização de CO2 em dois contextos: (1) Processamento primário de gás natural do Pré-Sal, rico em CO2, sob impacto de elevação de teor de CO2 do reservatório por EOR, (2) Captura de CO2 emitido por termelétricas a gás natural. Nos dois contextos, desenvolver material adsorvente avançado visando minimizar a penalidade energética da separação no preço do kWh gerado, desde experimentos de bancada até a construção e teste de unidade protótipo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CAPTURA E ESTOCAGEM DE CO2",NA,NA,"UFRJ","UFRJ - H2CIN - Laboratório de Hidrorrefino, Engenharia de Processos e Termodinâmica Aplicada da Escola de Química da UFRJ","0035/2017","29/09/2017",12,"R$ 1399392,30","UFRJ"
