Nº ANP;TITULO;EMPRESA RESPONSÁVEL;DEMAIS PROPONENTES;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;EXECUTOR 6;EXECUTOR 7;EXECUTOR 8;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO;VALOR CLAUSULA
20023-8;Caracterização de Testemunhos e Plugues por Análise Digital de Rocha;SHELL;;PESQUISA APLICADA;Esta proposta de pesquisa abordará a influência da densidade volumétrica e do perfil de absorção fotoelétrica nos resultados da análise digital de rocha, também a caracterização de carbonatos em escala de poro incluindo o sistema multimodal utilizando correlação da morfologia do poro com as propriedades petrofísicas da rocha (rotina e especial) para refinamento da caracterização de tipos de rocha reservatório.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS;SHELL;INGRAIN BRASIL SERVIÇOS DE GEOFÍSICA LTDA;;;;;;;;12/12/2016;11; R$ 2,826,551.10 
20024-6;Multi Sensor Inversion Fase II;SHELL;;PESQUISA APLICADA;Estender a aplicação do projeto Multi Sensor Inversion (MSI Fase I) para formações com anisotropia tridimensional e para poços com lama base água e aprimorar os modelos físicos envolvidos para obter uma melhor caracterização da formação e do fluido do reservatório através do uso de informações de ressonância magnética e dielétrico.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES;SHELL;SCHLUMBERGER SERVICOS DE PETROLEO LTDA;;;;;;;;03/01/2017;36; R$ 18,100,971.89 
20025-3;ADDSSI - DETECÇÃO DE ANOMALIAS E DIAGNÓSTICO DE FALHAS DE SISTEMAS DE INJEÇÃO DE ÁGUA EM FPSOS;SHELL;;PESQUISA APLICADA;Pesquisar o uso de técnicas de Inteligência Artificial para auxiliar o diagnóstico dos problemas no controle da vazão e pressão de água de injeção em processo de recuperação secundária em reservatórios de óleo e gás a fim de garantir produtividade e segurança da planta de  processo e do reservatório. O projeto terá como estudo de caso o campo Parque das Conchas (BC-10) situado em águas profundas na costa brasileira.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;INJEÇÃO E GERENCIAMENTO DE ÁGUAS;UFF - ADDLabs-Laboratório de Documentação Ativa e Design Inteligente;;;;;;;;;25/05/2017;16; R$ 1,463,549.04 
20027-9;Produção  de biomassa algácea com alto teor de lipídeos destinada à obtenção de biocombustíveis na Planta Piloto da UFRN;PETROBRAS;;PESQUISA APLICADA;Aprimorar a produção da biomassa de microalgas procurando obter um alto teor lipídico no processamento, através do cultivo intensivo de espécies selecionadas e/ou melhoradas geneticamente, nas instalações da Planta Piloto, e destinadas à produção final de biocombustíveis.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;MONITORAMENTO DE ÁREAS IMPACTADAS POR ATIVIDADES DA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;UFRN - Grupo de Pesquisa em Ciências do Mar e Ambientais;;;;;;;;;30/05/2017;30; R$ 1,332,540.30 
20028-7;Avaliação da tecnologia Orbitrap para estudos em petroleômica: um enfoque em geoquímica.;PETROBRAS;;PESQUISA APLICADA;Avaliar a performance do sistema Orbitrap Q-Exactive na análise das frações de petróleos fracionadas, no que tange o número e perfil de componentes identificados e verificar se as informações obtidas pelo Orbitrap para resolução de questões geoquímicas levarão as mesmas conclusões obtidas pelas análises no FT-ICR MS.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;METODOLOGIAS E SISTEMAS DE CONTROLE DA QUALIDADE;UFG - Instituto de Química;;;;;;;;;07/06/2017;24; R$ 600,768.27 
20030-3;Projeto Multicliente CO2CC Program: Captura e Usos para o CO2;PETROBRAS;;PESQUISA EM MEIO AMBIENTE;Avaliar opções tecnicamente e comercialmente viáveis para a captura / purificação e utilização de CO2 e a sua mitigação através de ganhos de eficiência energética que contribuam significativamente para a mitigação das emissões de CO2 dos processos da indústria de óleo e gás;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;EMISSÕES DE GASES DE EFEITO ESTUFA NA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;PETROBRAS;;;;;;;;;24/04/2017;24; R$ 86,836.14 
20031-1;Redução de COV em UCR (Abertura do Tambor);PETROBRAS;;PESQUISA EM MEIO AMBIENTE;Quantificar/Estimar as emissões de hidrocarbonetos, em especial os compostos orgânicos voláteis (COV), durante o processo de abertura do tambor de coque, através de monitoramento ou estimativa de cálculo.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;GERENCIAMENTO DE ÁGUAS, EFLUENTES E EMISSÕES DE POLUENTES REGULAMENTADOS;PETROBRAS;;;;;;;;;24/04/2017;19; R$ 72,453.42 
20034-5;Avaliação Experimental de Campo Magnético para Mitigação de Incrustações Inorgânicas;PETROBRAS;;PESQUISA APLICADA;Compreender os mecanismos de formação dos sólidos e como estes afetam a incrustação do carbonato de cálcio e do sulfato de bário em ambientes similares aos poços de extração de petróleo em termos de concentração de sais, e avaliar os efeitos de campo magnético nestes mecanismos, com vistas à estabelecer controle, mitigação e ou eliminação da incrustação nestes sistemas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;IPT - Instituto de Pesquisas Tecnológicas do Estado de SP SA - IPT;;;;;;;;;29/05/2017;36; R$ 3,424,641.95 
20035-2;Redução dos custos de catalisadores para a reação gás-shift- segunda etapa;PETROBRAS;;PESQUISA APLICADA;Preparar e testar formulações alternativas buscando redução de custos para o catalisador mais ativo e tioressistente já desenvolvido e patenteado em projeto anterior.;ABASTECIMENTO;REFINO;SISTEMAS CATALÍTICOS;PETROBRAS;;;;;;;;;13/04/2017;36; R$ 181,935.60 
20036-0;Otimização do uso do ZnO nas refinarias;PETROBRAS;;PESQUISA APLICADA;No momento há 20 unidades de geração de H2 em operação e todas essas unidades possuem ZnO para a reação com H2S e preservação dos catalisadores das etapas subsequentes. O tempo de operação desses materiais é diverso dependendo de diferentes questões, assim sendo o objetivo desse projeto é aumentar o conhecimento na área e dessa forma propiciar o uso intensivo do ZnO postergando a troca, sempre que possível, com segurança e/ou permitindo a compra de volumes menores.;ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PETROBRAS;;;;;;;;;13/04/2017;24; R$ 842,717.12 
20037-8;Metodologia de estimação de desempenho de leito simples e leito composto de HDT convencional.;PETROBRAS;;PESQUISA APLICADA;Avaliar o uso de leitos mistos de catalisadores comerciais CoMo e NiMo em unidades de HDT de baixa/média severidade como alternativa para produção de diesel de baixo enxofre. Gerar informação para o desenvolvimento de modelos de HDS e HDA a partir de técnicas analíticas que discriminam os compostos por famílias para tornar as previsões de desempenho mais precisas.;ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PETROBRAS;;;;;;;;;13/04/2017;9; R$ 1,192,782.24 
20038-6;Melhoria da qualidade de lubrificantes e parafinas para RLAM;PETROBRAS;;PESQUISA APLICADA;Avaliar a viabilidade de hidrogenação do óleo básico Bright Stock na unidade U-24 da RLAM visando aumento da rentabilidade pelo enquadramento de qualidade.  Serão avaliadas, da mesma forma, a hidrogenação de parafina mole e parafina micro dura RLAM, esta última com o objetivo de se verificar a viabilidade de não ser necessária a utilização da unidade de percolação U-16 desta refinaria para preparação desta carga para o processo de HDT.;ABASTECIMENTO;COMBUSTÍVEIS E LUBRIFICANTES;LUBRIFICANTES E BIOLUBRIFICANTES;PETROBRAS;;;;;;;;;13/04/2017;18; R$ 534,754.02 
20039-4;Avaliação dos ganhos com o uso de ar enriquecido com O2 nas UGHs;PETROBRAS;;PESQUISA APLICADA;Avaliação do impacto em termos de possível aumento de capacidade e riscos do uso de ar enriquecido em O2 no forno das UGHs.;ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PETROBRAS;;;;;;;;;13/04/2017;18; R$ 248,988.32 
20040-2;Desenvolvimento de Auxiliar de Desparafinação Petrobras;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Produzir  formulações de aditivos à base de poli(etileno-co-acetato de vinila) (EVA) quimicamente modificado e avaliar seu desempenho como auxiliar de desparafinação na produção de óleos básicos lubrificantes e parafinas.;ABASTECIMENTO;COMBUSTÍVEIS E LUBRIFICANTES;LUBRIFICANTES E BIOLUBRIFICANTES;PETROBRAS;;;;;;;;;01/03/2017;34; R$ 198,408.00 
20041-0;TÉCNICAS AVANÇADAS DE CARACTERIZAÇÃO;PETROBRAS;;PESQUISA APLICADA;Aplicar técnicas avançadas para caracterizar catalisadores sólidos aplicados na indústria de refino de petróleo visando ao seu aperfeiçoamento e eficiência de uso.;ABASTECIMENTO;REFINO;SISTEMAS CATALÍTICOS;PETROBRAS;;;;;;;;;17/04/2017;44; R$ 97,137.09 
20042-8;Estudo para aumento da confiabilidade e desempenho dos conversores de amônia;PETROBRAS;;PESQUISA EM MEIO AMBIENTE;Avaliar tecnologia para análise de O2 em conversores de amônia, a fim de reduzir as emissões atmosféricas de NOx e de outros poluentes, a fim de atender a Resolução CONAMA 436 ( de 2011) e proporcionar maior vida útil ao sistema de conversão de amonia com custos competitivos.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;GERENCIAMENTO DE ÁGUAS, EFLUENTES E EMISSÕES DE POLUENTES REGULAMENTADOS;PETROBRAS;;;;;;;;;17/04/2017;12; R$ 35,669.37 
20046-9;Avaliação das etapas críticas do processo de produção Etanol 2G em escala piloto;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Determinar as condições operacionais das etapas críticas do processo de produção de etanol 2G, através de testes em escala de laboratório e piloto, usando bagaço e palha de cana-de-açúcar, bem como outras biomassas de interesse da PETROBRAS.;BIOCOMBUSTÍVEIS;BIOCOMBUSTÍVEIS AVANÇADOS (2ª, 3ª, 4ª GERAÇÃO);CONVERSÃO DE MATERIAIS LIGNOCELULÓSICOS;PETROBRAS;;;;;;;;;18/04/2017;38; R$ 2,246,115.00 
20047-7;Avaliação da produção de lubrificantes grupos II+ em unidades existentes de HDT de alta severidade;PETROBRAS;;PESQUISA APLICADA;Avaliação do emprego de unidades existentes de HDT de destilados médios de alta severidade para a produção de óleos básicos lubrificantes do Grupo II+ via atualização tecnológica para a rota de hidroconversão de gasóleos.;ABASTECIMENTO;COMBUSTÍVEIS E LUBRIFICANTES;LUBRIFICANTES E BIOLUBRIFICANTES;PETROBRAS;;;;;;;;;18/04/2017;11; R$ 319,841.70 
20048-5;COMPÓSITOS COM PERMEABILIDADE REDUZIDA;PETROBRAS;;PESQUISA APLICADA;Desenvolver compósitos de poliolefinas, em escala de laboratório, com permeabilidade reduzida para aplicação como tubo ou revestimento de tubos (liners).;ABASTECIMENTO;PETROQUÍMICA DE 1ª E 2ª GERAÇÃO;PROCESSOS PETROQUÍMICOS;PETROBRAS;;;;;;;;;18/04/2017;10; R$ 256,227.36 
20049-3;Avaliação da formação de Hidratos em UPGNs;PETROBRAS;;PESQUISA APLICADA;Identificar as causas da formação de hidratos em UPGNs após a admissão do gás proveniente do Pré-Sal, propondo ações mitigadores a este risco.;GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;PROCESSAMENTO DE GÁS NATURAL;PETROBRAS;;;;;;;;;18/04/2017;12; R$ 113,182.20 
20050-1;Avaliação de mistura e estabilidade de aminas;PETROBRAS;;PESQUISA APLICADA;Avaliar a estabilidade e compatibilidade de misturas de aminas formuladas e seu desempenho frente às características do gás do Pré-Sal.;GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;PROCESSAMENTO DE GÁS NATURAL;PETROBRAS;;;;;;;;;24/04/2017;36; R$ 840,903.60 
20051-9;Implantação do piloto do ARGUS em UPGN;PETROBRAS;;PESQUISA APLICADA;Identificar e especificar requisitos para implantação do piloto do programa ARGUS em uma unidade de processamento de gás natural.;GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;PROCESSAMENTO DE GÁS NATURAL;PETROBRAS;;;;;;;;;24/04/2017;12; R$ 162,464.40 
20052-7;AVALIAÇÃO DE RISCO ECOLÓGICO;PETROBRAS;;PESQUISA EM MEIO AMBIENTE;Este trabalho procura entender o destino dos contaminantes na área de estudos por meio de um enfoque integrado, à luz de diversas disciplinas para avaliação e controle dos vários fatores que contribuem para o impacto da contaminação na área localizada no Município de Miguel Pereira, RJ. Ao final do projeto deve-se construir uma abordagem que permitirá a integração da caracterização ambiental e as avaliações de risco ecológico e a saúde humana.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;MONITORAMENTO DE ÁREAS IMPACTADAS POR ATIVIDADES DA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;PETROBRAS;;;;;;;;;01/04/2017;48; R$ 757,530.00 
20053-5;Reparo por compósito de baixo custo;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver sistema de reparo por compósito de baixo custo que possa ser utilizado em defeitos de baixa complexidade de tubulações.;TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;PETROBRAS;;;;;;;;;01/04/2017;45; R$ 460,698.84 
20054-3;Reparo de Tubos com Elevado Desgaste;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Avaliar a capacidade de materiais compósitos em reparar tubulações com elevado desgaste, onde não é possível a utilização de jateamento ou máquina rotativa na região do defeito, tendo em visto o risco de perfuração do tubo. Neste caso, a preparação de superfície com jateamento ou máquina portátil será realizada na extremidade. Neste este estudo será avaliado as condições limites de pressão.;TEMAS TRANSVERSAIS;MATERIAIS;NOVOS MATERIAIS;PETROBRAS;;;;;;;;;01/10/2017;51; R$ 266,814.00 
20055-0;DESEMPENHO DE REPAROS EM AMBIENTE SALINO;PETROBRAS;;PESQUISA APLICADA;Avaliar o desempenho de reparos em compósito antes e após exposição a ambiente salino.;TEMAS TRANSVERSAIS;MATERIAIS;NOVOS MATERIAIS;PETROBRAS;;;;;;;;;01/04/2017;45; R$ 800,442.00 
20056-8;END em juntas laminadas de PRFV;PETROBRAS;;PESQUISA APLICADA;Desenvolver metodologia para execução de ensaio termográfico em juntas laminadas de plástico reforçado com fibra de vidro (PRFV) utilizados em sistemas de tubulação.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;PETROBRAS;;;;;;;;;01/05/2017;13; R$ 42,690.24 
20057-6;Monitoramento da integridade estrutural;PETROBRAS;;PESQUISA APLICADA;O processo de implementação de uma estratégia de caracterização e detecção de dano para estruturas de engenharia é referido como Monitoramento de Integridade Estrutural do inglês, Structural Health Monitoring SHM. Nesse contexto, o dano é definido como mudanças das propriedades dinâmicas de uma estrutura, incluindo mudanças nas condições de contorno, que podem afetar o desempenho do sistema;TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;PETROBRAS;;;;;;;;;01/05/2017;12; R$ 52,177.96 
